immune system process	immune response	B cell mediated immunity	natural killer cell activation	response to stimulus	proteolysis	cellular defense response	mesoderm development	metabolic process	cellular process	protein metabolic process	mammary gland development	developmental process	primary metabolic process	system development	transport	intracellular protein transport	endocytosis	receptor-mediated endocytosis	cell communication	cell adhesion	signal transduction	cell surface receptor linked signal transduction	blood coagulation	response to external stimulus	protein transport	vesicle-mediated transport	cell-cell adhesion	macrophage activation	phagocytosis	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	transcription	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	ectoderm development	nervous system development	carbohydrate metabolic process	polysaccharide metabolic process	glycogen metabolic process	protein modification process	protein amino acid phosphorylation	cell cycle	mitosis	intracellular signaling cascade	segment specification	pattern specification process	embryonic development	skeletal development	DNA metabolic process	DNA replication	DNA repair	DNA recombination	cytokinesis	chromosome segregation	meiosis	anatomical structure morphogenesis	cellular component organization and biogenesis	cellular structure morphogenesis	protein complex assembly	nuclear mRNA splicing, via spliceosome	transcription initiation from RNA polymerase II promoter	RNA elongation from RNA polymerase II promoter	mRNA processing	RNA metabolic process	reproduction	gamete generation	spermatogenesis	MAPKKK cascade	phosphate metabolic process	apoptosis	induction of apoptosis	response to stress	transmembrane receptor protein serine/threonine kinase signaling pathway	I-kappaB kinase/NF-kappaB cascade	JNK cascade	female gamete generation	establishment and/or maintenance of chromatin architecture	organelle organization and biogenesis	general transcription from RNA polymerase II promoter	tRNA metabolic process	rRNA metabolic process	RNA catabolic process	ion transport	cation transport	protein amino acid glycosylation	carbohydrate transport	lipid metabolic process	steroid metabolic process	monosaccharide metabolic process	purine base metabolic process	amino acid and derivative metabolic process	amino acid metabolic process	nitrogen compound metabolic process	amino acid biosynthetic process	pyrimidine base metabolic process	amino acid transport	generation of precursor metabolites and energy	tricarboxylic acid cycle	amino acid catabolic process	vitamin metabolic process	vitamin catabolic process	system process	gluconeogenesis	cell-cell signaling	synaptic transmission	neurological system process	oxidative phosphorylation	respiratory electron transport chain	sulfur metabolic process	phosphate transport	anion transport	extracellular transport	neurotransmitter secretion	phospholipid metabolic process	G-protein coupled receptor protein signaling pathway	sensory perception	visual perception	calcium-mediated signaling	cyclic nucleotide metabolic process	fatty acid metabolic process	fatty acid beta-oxidation	acyl-CoA metabolic process	coenzyme metabolic process	cellular calcium ion homeostasis	homeostatic process	vitamin transport	oxygen and reactive oxygen species metabolic process	lipid transport	nucleobase, nucleoside, nucleotide and nucleic acid transport	vitamin biosynthetic process	translation	transmembrane receptor protein tyrosine kinase signaling pathway	dorsal/ventral axis specification	nerve-nerve synaptic transmission	pentose-phosphate shunt	porphyrin metabolic process	tRNA aminoacylation for protein translation	regulation of carbohydrate metabolic process	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	glycolysis	response to toxin	protein amino acid acetylation	cholesterol metabolic process	nuclear transport	protein amino acid lipidation	disaccharide metabolic process	fatty acid biosynthetic process	ferredoxin metabolic process	lysosomal transport	endoderm development	negative regulation of apoptosis	nitric oxide biosynthetic process	nitric oxide mediated signal transduction	peroxisomal transport	polyphosphate catabolic process	muscle contraction	action potential propagation	cytokine and chemokine mediated signaling pathway	nitrogen utilization	sensory perception of chemical stimulus	blood circulation	regulation of vasoconstriction	sensory perception of pain	regulation of biological process	sensory perception of taste	fertilization	cell-matrix adhesion	protein folding	protein localization	asymmetric protein localization	localization	response to pheromone	angiogenesis	cell motility	unsaturated fatty acid biosynthetic process	bile acid metabolic process	heart development	exocytosis	synaptic vesicle exocytosis	defense response to bacterium	complement activation	transcription, RNA-dependent	regulation of liquid surface tension	muscle development	neuromuscular synaptic transmission	JAK-STAT cascade	protein targeting	cell proliferation	mRNA capping	anterior/posterior axis specification	cell differentiation	sensory perception of sound	RNA localization	hemopoiesis	sex determination	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	antigen processing and presentation	mRNA polyadenylation	mRNA 3'-end processing	response to interferon-gamma	mitochondrial transport	mitochondrion organization and biogenesis	gut mesoderm development	protein amino acid methylation	mRNA transcription	termination of RNA polymerase II transcription	DNA catabolic process	pinocytosis	protein amino acid ADP-ribosylation	catabolic process	cellular glucose homeostasis	regulation of amino acid metabolic process	chromatin remodeling	regulation of phosphate metabolic process
transcription initiation from RNA polymerase II promoter	0	0	0	0	0	0.0473956148831897	0	0	0.0493876952150583	0	0.0527258619808663	0	0	0.059615857664076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307772154986188	0.465215902795278	0	0.536301332547659	0	0	0.0435062592713287	0.0384195706762455	0.0330304492803731	0.0452287019458345	0.0400524653188926	0	0	0	0	0	0	0	0.239376283897338	0.21848446570916	0.222737748849238	0.203349592150412	0	0	0	0	0	0	0.0329130347608477	0.228764477943403	0.994428802492063	0.346646959654423	0.233670288738623	0.244133543613426	0	0	0	0	0.0303709181081645	0	0	0	0	0	0	0	0	0	0.379179343013377	0.201640947984125	0.200588187138021	0.19816955226297	0	0	0.0374500778992569	0	0.0434976329176655	0.0366561909745194	0.0355715074888524	0.202509595077741	0.0399519625952844	0.0401723719953263	0.0280814821420212	0.0360048991449044	0.194115921663311	0	0	0	0.0332280518690836	0.0277008768884633	0.0185484424717235	0	0.0305528708410708	0	0	0	0	0	0.0297204543646275	0	0	0	0	0.0366821212307409	0	0	0	0	0.194711457531674	0.035423448393314	0.030927589833968	0.0294949228400533	0.0278194456850658	0	0	0	0.0266751861000469	0	0	0.0260402626955748	0.0400095909688147	0	0	0	0.0269057499814208	0.0255682137502732	0.0320872626514835	0	0	0.0303787231031972	0	0.0300004457193068	0.0332280518690836	0	0.0292507218792312	0.025311123529424	0.0295722520074873	0.02348659137394	0	0	0	0.0241641616665404	0	0	0.0194525938872721	0	0	0	0.0194525938872721	0	0	0	0	0	0	0	0	0.0353391438253099	0	0	0	0	0	0	0.0256628282421896	0.0243751664905508	0	0	0	0	0	0.39010521909953	0	0	0	0	0	0	0.148964285831352	0	0	0	0	0	0	0	0	0.193297259481725	0.193913963193534	0	0	0	0	0.0275894911112376	0.176961704029641	0.310059043547324	0.165974436127789	0	0.0267023931326781	0.0215539013646104	0	0	0	0
RNA elongation from RNA polymerase II promoter	0	0	0	0	0	0.0410481484438655	0	0	0.0412887932836482	0	0.0449869650433019	0	0	0.0499084258703556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263547712862939	0.403082971825301	0	0.467133166876521	0	0	0.0380983806054828	0.0341401357192336	0.0298171625997742	0.0394127647972252	0.035423448393314	0	0	0	0	0	0	0	0.211741228742095	0.195228347403494	0.198617334631151	0.183054227667121	0	0	0	0	0	0	0.0297214485523406	0.203395461336913	0.346646959654423	0.998142934164021	0.207264334973397	0.215454957724709	0	0	0	0	0.0271017957268552	0	0	0	0	0	0	0	0	0	0.343245310161613	0.181668464857941	0.180813484764444	0.17884588035837	0	0	0.0333724340728822	0	0.0380917653364926	0.0327405570869962	0.0318724857364654	0.182373254853232	0.0353448113882548	0.0355172081114932	0.0252637889574797	0.0322199882817911	0.17553765328002	0	0	0	0.0299780950468025	0.0249553120033167	0.0172757607169509	0	0.0277833460817892	0	0	0	0	0	0.026582630318411	0	0	0	0	0.0327612418930379	0	0	0	0	0.176024507213085	0.0317535669583645	0.0280928657113273	0.0269057499814208	0.025051500952052	0	0	0	0.0241198009429485	0	0	0.0235995112233255	0.0353899075135798	0	0	0	0.024734467416773	0.02321114552483	0.0290464199170708	0	0	0.0276392648759299	0	0.0273257831281464	0.0299780950468025	0	0.0267023931326781	0.0233803509252889	0.0269700837613326	0.021482658342255	0	0	0	0.0220481454642554	0	0	0.0180574794292349	0	0	0	0.0180574794292349	0	0	0	0	0	0	0	0	0.0316858088048631	0	0	0	0	0	0	0.0236801272315027	0.0225794811849751	0	0	0	0	0	0.34545295273955	0	0	0	0	0	0	0.1377744281728	0	0	0	0	0	0	0	0	0.174867925491166	0.175372486167104	0	0	0	0	0.025311123529424	0.161390210627827	0.285609345722401	0.152201285169665	0	0.0245625029572592	0.0198542690323817	0	0	0	0
mRNA processing	0	0	0	0	0	0.0629693151099172	0	0	0.0719649381749793	0	0.0727390320029791	0	0	0.0865365345038966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4206753301654	0.375225281463173	0	0.355849020020642	0	0	0.056284278075497	0.0480534654842826	0.0399092499718546	0.0592010001836503	0.0506354635153671	0	0	0	0	0	0	0	0.302526406027554	0.269908612198648	0.276429566233927	0.247181338157699	0	0	0	0	0	0	0.0397379652654369	0.942331371983862	0.233670288738623	0.207264334973397	0.967711016593782	0.899043018259689	0	0	0	0	0.0376308622857808	0	0	0	0	0	0	0	0	0	0.23062779423657	0.709174574078383	0.704687046064698	0.694415034027573	0	0	0.0465463393874734	0	0.0562698412176056	0.0453262438134914	0.0436792998532606	0.245941297284801	0.050474939116073	0.0508272588838076	0.0341782735767082	0.0443345921495022	0.233670288738623	0	0	0	0.0401980865665859	0.0336161149530565	0.0210258160314801	0	0.036347906387252	0	0	0	0	0	0.0366373395089907	0	0	0	0	0.0453658975640369	0	0	0	0	0.234533792391076	0.0434562663717844	0.0368794904075072	0.0348603409964894	0.0337908884409599	0	0	0	0.0321174516297438	0	0	0.0312014743283289	0.0505669579581931	0	0	0	0.031300345551509	0.0305261864555192	0.038540447428967	0	0	0.0361016977272672	0	0.0355687200531249	0.0401980865665859	0	0.0345197269930993	0.0291629586089046	0.034968414503326	0.0276051058770881	0	0	0	0.0285459026736031	0	0	0.0221952312276455	0	0	0	0.0221952312276455	0	0	0	0	0	0	0	0	0.0433294603325613	0	0	0	0	0	0	0.0296308422106146	0.0279274118882619	0	0	0	0	0	0.298855759309538	0	0	0	0	0	0	0.564541556361356	0	0	0	0	0	0	0	0	0.766615306128785	0.769558905003645	0	0	0	0	0.0322295389993156	0.606539022650908	0.181917586949696	0.194061804740693	0	0.0310254731975738	0.0249731474931385	0	0	0	0
RNA metabolic process	0	0	0	0	0	0.0676444238782899	0	0	0.079620617950189	0	0.0790500657128886	0	0	0.0956183226684047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.455847790858594	0.402957676640558	0	0.380696387568774	0	0	0.0599902172058791	0.0507290078305985	0.0417374786772204	0.063315021626913	0.0536151681003476	0	0	0	0	0	0	0	0.320299169229146	0.283966487476124	0.291193497664723	0.258919958652927	0	0	0	0	0	0	0.0415501783662408	0.874160047777829	0.244133543613426	0.215454957724709	0.899043018259689	0.953273827352783	0	0	0	0	0.0396230455263036	0	0	0	0	0	0	0	0	0	0.240814411115947	0.742493721809443	0.737576074991655	0.726330511395861	0	0	0.0490523085996556	0	0.0599738168974486	0.0476992106578951	0.0458787705855022	0.257559666338276	0.0534352288918491	0.053830248429705	0.0358137219454907	0.0466022654915468	0.244133543613426	0	0	0	0.0420534891781305	0.0351969624037598	0.0216335563341474	0	0.0378582315985514	0	0	0	0	0	0.038523081205056	0	0	0	0	0.0477431270936065	0	0	0	0	0.245076266320408	0.0456327731280442	0.038435260758378	0.0362472150486897	0.0353886072204094	0	0	0	0.0335574683222023	0	0	0.0325587892420468	0.0535383688479139	0	0	0	0.032413899230659	0.0318241628663094	0.0402427434320062	0	0	0.0375912121151907	0	0.0370136988409575	0.0420534891781305	0	0.0358791032481957	0.0301272810367982	0.0363640731534924	0.0286622569653884	0	0	0	0.0296778154699679	0	0	0.0228735446386381	0	0	0	0.0228735446386381	0	0	0	0	0	0	0	0	0.0454929672685737	0	0	0	0	0	0	0.0306268839928972	0.0288105171903315	0	0	0	0	0	0.316187499913076	0	0	0	0	0	0	0.5123390880792	0	0	0	0	0	0	0	0	0.703895548925328	0.706719186624277	0	0	0	0	0.0334114369934056	0.630747195816599	0.188197062612413	0.201224163158513	0	0.0321192131043246	0.0258351766929209	0	0	0	0
reproduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.942790391181933	0.924168466744873	0.806126962870637	0	0	0	0	0	0	0	0	0.814569631346904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715445229645359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gamete generation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.924168466744873	0.949020547534895	0.829857817968348	0	0	0	0	0	0	0	0	0.838400302215138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.704670148904579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spermatogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.806126962870637	0.829857817968348	0.978314263463727	0	0	0	0	0	0	0	0	0.744016950953028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.633894626284691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPKKK cascade	0	0	0	0	0	0	0	0	0	0.160936443030215	0	0	0	0	0	0	0	0	0	0.28448040471723	0.130444307705535	0.292766955426025	0.263421070421689	0	0	0	0	0.120624217220505	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125160715974497	0.109229917172076	0.715916290087801	0	0	0	0	0	0	0	0	0.09327454768374	0.0998613499258858	0.0947023467633106	0	0.117451552227487	0.111264111197372	0	0	0	0	0	0	0	0	0	0.985562810759001	0	0	0	0	0.173129382674424	0.531748190509608	0.897579013705732	0	0.0992796565037306	0.1006171154215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235147898881235	0.218868991109863	0	0	0	0	0	0	0	0	0	0.242705636524871	0	0	0.591053621263624	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188068339652077	0	0.164695819631162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.487991321914686	0	0	0	0	0.176869224368719	0	0	0	0	0	0	0	0	0.102843057716358	0	0	0	0	0	0	0.121350255951591	0	0	0	0	0	0	0	0	0	0	0.17193070948814	0.513041083720057	0	0.0742594682783735	0	0	0	0	0	0	0	0	0	0	0	0	0.0782601342854557	0.0782601342854557	0	0	0	0	0	0	0	0	0	0	0.0676589924602183	0
phosphate metabolic process	0	0	0	0	0	0.0474295935063112	0	0	0.0639079519726741	0	0.0540910084021768	0	0	0.0632150078557137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0524435554602187	0.0472464888003445	0	0.0449990572270825	0	0	0.0427715972949248	0.036921393857107	0.0310037387910634	0.0448140651548105	0.0387705025203001	0	0	0	0	0	0	0	0.0387134272767581	0.0347938432345644	0.0355820583871298	0.0320284631294829	0	0	0	0	0	0	0.0308778731029297	0.0367074026017919	0.0303709181081645	0.0271017957268552	0.0376308622857808	0.0396230455263036	0	0	0	0	0.980111423950159	0	0	0	0	0	0	0	0	0	0.0299962549215291	0.0317200724338908	0.0315304405956833	0.0310958681763412	0	0	0.0358361064532963	0	0.0427614482709565	0.0349542737479633	0.0337593125273178	0.0318767579145482	0.0386559157793012	0.0389073466565603	0.0322474513855476	0.0342354060413413	0.0303709181081645	0	0	0	0.0312158526532948	0.031746548938278	0.0202788631155269	0	0.0283746126126366	0	0	0	0	0	0.034427665215676	0	0	0	0	0.0349829794796827	0	0	0	0	0.0304771583509227	0.0335970778846455	0.0287686740186665	0.0272688343216936	0.0319023778359468	0	0	0	0.0304066247825141	0	0	0.0295843835405346	0.0387216074016809	0	0	0	0.0246041258445435	0.0289765968509671	0.0299962549215291	0	0	0.0281919047781708	0	0.0277959679606153	0.0312158526532948	0	0.0270150050792171	0.022991671470861	0.0273493223569648	0.0263317049535552	0	0	0	0.0271863636863969	0	0	0.593130857739853	0	0	0	0.0213645209269317	0	0	0	0	0	0	0	0	0.033504795409329	0	0	0	0	0	0	0.023345458338822	0.0220552198443119	0	0	0	0	0	0.0382752012389194	0	0	0	0	0	0	0.0225729985451159	0	0	0	0	0	0	0	0	0.0302250219607968	0.0303349105331343	0	0	0	0	0.0253021571706531	0.0273493223569648	0.0239263873575539	0.0254524147152535	0	0.0243972929510497	0.0239263873575539	0	0	0	0
apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.916072605283652	0.71477495715246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
induction of apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71477495715246	0.979212843706943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to stress	0	0.503864145192723	0.378983427668923	0.311108536818039	0.689348607858866	0	0.544663675222875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510980707803292	0.510980707803292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.939675313005451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454992170409952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377258812714126	0	0	0	0	0	0	0	0.457582542415137	0.435748780917063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.347652795392784	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transmembrane receptor protein serine/threonine kinase signaling pathway	0	0	0	0	0	0	0	0	0	0.142642427934761	0	0	0	0	0	0	0	0	0	0.254142120924548	0.118161259506387	0.261673036440523	0.437289457831586	0	0	0	0	0.110045951098348	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113809260439882	0.100483276145304	0.209542818146318	0	0	0	0	0	0	0	0	0.086821064671842	0.0925001944518514	0.0880568165890778	0	0.107399241869021	0.10220217205886	0	0	0	0	0	0	0	0	0	0.173129382674424	0	0	0	0	0.99239202060744	0.159119641773943	0.15866901488046	0	0.0920008834930533	0.0931482843789062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214028802749175	0.200458292629873	0	0	0	0	0	0	0	0	0	0.405984793088941	0	0	0.175601285864996	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321072101026037	0	0.154049376853676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146806086738888	0	0	0	0	0.30323344835817	0	0	0	0	0	0	0	0	0.0950528997691274	0	0	0	0	0	0	0.110649913259432	0	0	0	0	0	0	0	0	0	0	0.160361204755	0.153871355472405	0	0.0701104937094551	0	0	0	0	0	0	0	0	0	0	0	0	0.0736659013776742	0.0736659013776742	0	0	0	0	0	0	0	0	0	0	0.0641976046312251	0
I-kappaB kinase/NF-kappaB cascade	0	0	0	0	0	0	0	0	0	0.138655281558599	0	0	0	0	0	0	0	0	0	0.247465983167892	0.115412078008101	0.254826527639601	0.232301218072503	0	0	0	0	0.107657612739463	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111256672527163	0.0984882200323031	0.641232582355736	0	0	0	0	0	0	0	0	0.085327611071054	0.0908068768413261	0.0865209228700981	0	0.105123217535044	0.100138976872223	0	0	0	0	0	0	0	0	0	0.531748190509608	0	0	0	0	0.159119641773943	0.993530222248847	0.488046690848209	0	0.0903256318729914	0.0914313758589232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209274127145217	0.196281560157127	0	0	0	0	0	0	0	0	0	0.216040130812803	0	0	0.53920591209143	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171651180252422	0	0.15157076501916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.452099602145873	0	0	0	0	0.162273199305016	0	0	0	0	0	0	0	0	0.093265735269237	0	0	0	0	0	0	0.108235574835835	0	0	0	0	0	0	0	0	0	0	0.157677090257674	0.473519187738768	0	0.0691333739002592	0	0	0	0	0	0	0	0	0	0	0	0	0.0725879282153036	0.0725879282153036	0	0	0	0	0	0	0	0	0	0	0.0633773849618535	0
JNK cascade	0	0	0	0	0	0	0	0	0	0.137984809990407	0	0	0	0	0	0	0	0	0	0.246341064608042	0.11494717513247	0.253672756546599	0.231342022414649	0	0	0	0	0.107252974650865	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110824581908187	0.0981494656694362	0.638893434307516	0	0	0	0	0	0	0	0	0.085073223934382	0.0905188252246137	0.0862593816455415	0	0.104737372435748	0.0997887918366223	0	0	0	0	0	0	0	0	0	0.897579013705732	0	0	0	0	0.15866901488046	0.488046690848209	0.99370993829749	0	0.0900406205220075	0.0911393549994249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208469071443045	0.195573194349587	0	0	0	0	0	0	0	0	0	0.215210282646614	0	0	0.537550950258631	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171126896670684	0	0.151148012074343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.450935577089678	0	0	0	0	0.161804559963117	0	0	0	0	0	0	0	0	0.0929618988888043	0	0	0	0	0	0	0.107826588721938	0	0	0	0	0	0	0	0	0	0	0.157219639708934	0.47224240715676	0	0.0689662889711335	0	0	0	0	0	0	0	0	0	0	0	0	0.0724037500550011	0.0724037500550011	0	0	0	0	0	0	0	0	0	0	0.0632369362354455	0
female gamete generation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814569631346904	0.838400302215138	0.744016950953028	0	0	0	0	0	0	0	0	0.976756724375487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.639103409444416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
establishment and/or maintenance of chromatin architecture	0	0	0	0	0	0	0	0	0	0.174144064198869	0	0	0	0	0	0	0	0	0	0.16117702729578	0.138988385033183	0.160381360925493	0.143220283590348	0	0	0	0	0.127894439698428	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133005848919666	0.115157755137617	0.123429119000575	0	0	0	0	0	0	0	0	0.0975630954540786	0.104792987866321	0.0991263068112387	0	0.746734658629315	0.705219246514157	0	0	0	0	0	0	0	0	0	0.0992796565037306	0	0	0	0	0.0920008834930533	0.0903256318729914	0.0900406205220075	0	0.978913316959204	0.962706991689333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131494863564256	0.121868873286199	0	0	0	0	0	0	0	0	0	0.13126074219052	0	0	0.10087849024751	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100314729789456	0	0.0904192710629723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0826035109805192	0	0	0	0	0.0940763420594332	0	0	0	0	0	0	0	0	0.108081318858034	0	0	0	0	0	0	0.128710931221931	0	0	0	0	0	0	0	0	0	0	0.0945682992233505	0.0870176304499704	0	0.0769524654876022	0	0	0	0	0	0	0	0	0	0	0	0	0.740603466581545	0.740603466581545	0	0	0	0	0	0	0	0	0	0	0.636976957479203	0
